,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK
459,201976,Patrick Beverley,Patrick,1610612749,MIL,35.0,73,43,30,0.589,1462.5116666666668,2.1,1.5,0.9,6.1,14.2,14.2,13.3,45.9,1.0,0.5,4.2,3.1,39.8,99,79,395,190,193,413,425,467,388,85,353,183,450,220,113,353,251,320
460,1630172,Patrick Williams,Patrick,1610612741,CHI,22.0,43,19,24,0.442,1174.085,2.8,2.2,2.0,6.1,15.6,12.8,14.8,46.6,1.3,1.1,3.6,2.1,36.4,330,307,282,365,231,292,301,340,387,182,161,341,425,141,373,234,390,397
461,201988,Patty Mills,Patty,1610612748,MIA,35.0,32,15,17,0.469,415.315,3.8,0.6,1.3,2.5,15.5,11.8,11.8,48.8,0.1,0.5,3.7,2.2,30.9,385,347,199,344,379,136,515,438,522,172,88,79,318,515,115,265,378,494
462,202331,Paul George,Paul,1610612746,LAC,34.0,74,48,26,0.649,2501.766666666667,4.5,2.3,3.4,8.0,14.4,13.1,13.2,46.8,0.7,1.1,3.9,4.5,54.2,87,36,332,100,31,72,292,170,295,95,189,169,419,322,337,293,116,91
463,1630194,Paul Reed,Paul,1610612755,PHI,24.0,82,47,35,0.573,1589.5016666666668,2.5,5.2,0.8,13.1,13.7,14.1,14.8,50.9,2.5,1.2,6.0,2.9,52.4,2,45,461,222,175,350,47,479,117,63,335,340,222,47,406,507,282,111
464,1630202,Payton Pritchard,Payton,1610612738,BOS,26.0,82,64,18,0.78,1825.7333333333333,2.6,2.7,2.6,5.7,13.0,12.8,12.1,47.8,0.2,0.7,2.8,1.6,42.1,2,1,215,23,136,330,233,248,406,39,159,97,368,507,204,107,455,282
465,1631250,Pete Nance,Pete,1610612739,CLE,24.0,8,3,5,0.375,27.35,0.0,0.0,0.0,0.0,22.8,8.8,14.0,38.6,0.0,0.0,3.5,1.8,15.1,510,489,64,407,541,518,517,518,551,539,23,261,549,520,1,229,444,564
466,1631212,Peyton Watson,Peyton,1610612743,DEN,21.0,80,56,24,0.7,1487.8366666666666,2.6,1.3,3.9,9.6,17.5,15.4,12.5,49.0,2.8,1.0,4.6,2.6,42.0,23,10,282,52,188,317,469,112,228,354,446,114,309,34,329,398,319,285
467,1630173,Precious Achiuwa,Precious,1610612752,NYK,24.0,74,40,34,0.541,1623.7533333333333,2.8,4.7,1.7,12.2,16.2,13.6,13.8,48.2,2.0,1.2,4.2,2.5,45.9,87,110,446,275,171,288,67,386,138,245,269,237,349,72,374,356,344,192
468,1629656,Quentin Grimes,Quentin,1610612765,DET,23.0,51,32,19,0.627,1024.9433333333334,2.6,2.4,4.0,3.7,14.7,13.7,14.8,48.6,0.3,0.7,3.5,1.6,31.7,284,183,226,125,260,331,270,108,492,113,284,346,323,465,200,230,460,478
